ID_Match;League;Year;Season;Type;blueTeamTag;bResult;rResult;redTeamTag;gamelength;blueTop;blueTopChamp;blueJungle;blueJungleChamp;blueMiddle;blueMiddleChamp;blueADC;blueADCChamp;blueSupport;blueSupportChamp;redTop;redTopChamp;redJungle;redJungleChamp;redMiddle;redMiddleChamp;redADC;redADCChamp;redSupport;redSupportChamp
33;NALCS;2015;Spring;Season;DIG;0;1;C9;27;Gamsu;Gnar;CloudNguyen;JarvanIV;Shiphtur;Leblanc;CoreJJ;Sivir;KiWiKiD;Thresh;Balls;Maokai;Meteos;Nidalee;Hai;Zed;Sneaky;Kalista;LemonNation;Janna
34;NALCS;2015;Spring;Season;T8;0;1;TL;35;CaliTrlolz8;Maokai;Porpoise8;RekSai;Slooshi8;Kassadin;Maplestreet8;Draven;Dodo8;Thresh;Quas;Rumble;IWDominate;JarvanIV;FeniX;Ahri;Piglet;Graves;Xpecial;Leona
35;NALCS;2015;Spring;Season;GV;0;1;TSM;43;Hauntzer;Maokai;Saintvicious;JarvanIV;Keane;Xerath;Cop;Graves;Bunny FuFuu;Braum;Dyrus;Lissandra;Santorin;Vi;Bjergsen;Zed;WildTurtle;Sivir;Lustboy;Janna
36;NALCS;2015;Spring;Season;WFX;1;0;C9;37;Avalon;Lissandra;Helios;RekSai;Pobelter;Ahri;Altec;Graves;Gleeb;Leona;Balls;Maokai;Meteos;Vi;Hai;Kassadin;Sneaky;Lucian;LemonNation;Janna
37;NALCS;2015;Spring;Season;TIP;1;0;CST;40;Impact;Rumble;Rush;Vi;XiaoWeiXiao;Lissandra;Apollo;Jinx;Adrian;Morgana;Cris;Gnar;Impaler;JarvanIV;Jesiz;Xerath;Mash;Graves;Sheep;Thresh
38;NALCS;2015;Spring;Season;CLG;0;1;TSM;46;ZionSpartan;Gnar;Xmithie;Vi;Link;Lissandra;Doublelift;Corki;Aphromoo;Janna;Dyrus;Sion;Santorin;JarvanIV;Bjergsen;Ahri;WildTurtle;Sivir;Lustboy;Annie
39;NALCS;2015;Spring;Season;GV;1;0;TL;48;Hauntzer;Maokai;Saintvicious;Vi;Keane;Zed;Cop;Graves;Bunny FuFuu;Thresh;Quas;Swain;IWDominate;JarvanIV;FeniX;Azir;Piglet;Tristana;Xpecial;Janna
40;NALCS;2015;Spring;Season;DIG;1;0;T8;39;Gamsu;Renekton;CloudNguyen;LeeSin;Shiphtur;Kassadin;CoreJJ;Corki;KiWiKiD;Annie;CaliTrlolz8;Maokai;Porpoise8;Vi;Slooshi8;Orianna;Maplestreet8;Sivir;Dodo8;Morgana
41;NALCS;2015;Spring;Season;TL;0;1;WFX;40;Quas;Fizz;IWDominate;RekSai;FeniX;Xerath;KEITH;Jinx;Xpecial;Janna;Avalon;Maokai;Helios;Vi;Pobelter;Leblanc;Altec;Graves;Imagine;Annie
42;NALCS;2015;Spring;Season;T8;0;1;GV;49;CaliTrlolz8;Gnar;Porpoise8;RekSai;Slooshi8;Ahri;Maplestreet8;Graves;Dodo8;Annie;Hauntzer;Maokai;Saintvicious;Nunu;Keane;Kassadin;Cop;Sivir;Bunny FuFuu;Morgana
43;NALCS;2015;Spring;Season;C9;1;0;TIP;37;Balls;Maokai;Meteos;Nidalee;Hai;Zed;Sneaky;Corki;LemonNation;Veigar;Impact;DrMundo;Rush;LeeSin;XiaoWeiXiao;Leblanc;Apollo;Graves;Adrian;Thresh
44;NALCS;2015;Spring;Season;DIG;0;1;CLG;35;Gamsu;Rumble;CloudNguyen;RekSai;Shiphtur;Kassadin;CoreJJ;Lucian;KiWiKiD;Morgana;ZionSpartan;Maokai;Xmithie;Vi;Link;Ahri;Doublelift;Tristana;Aphromoo;Braum
45;NALCS;2015;Spring;Season;TSM;1;0;CST;24;Dyrus;Maokai;Santorin;Vi;Bjergsen;Ahri;WildTurtle;Jinx;Lustboy;Janna;Cris;Kassadin;Impaler;RekSai;mancloud;Zed;Mash;Sivir;Sheep;Blitzcrank
46;NALCS;2015;Spring;Season;C9;1;0;CLG;44;Balls;Rumble;Meteos;RekSai;Hai;Zed;Sneaky;Corki;LemonNation;Braum;ZionSpartan;Maokai;Xmithie;JarvanIV;Link;Ahri;Doublelift;Sivir;Aphromoo;Thresh
47;NALCS;2015;Spring;Season;TL;1;0;TSM;54;Quas;Irelia;IWDominate;RekSai;FeniX;Lissandra;KEITH;Corki;Xpecial;Annie;Dyrus;Rumble;Santorin;JarvanIV;Bjergsen;Cassiopeia;WildTurtle;Jinx;Lustboy;Janna
48;NALCS;2015;Spring;Season;WFX;0;1;DIG;47;Avalon;Sion;Helios;RekSai;Pobelter;Ahri;Altec;Graves;Imagine;Janna;Gamsu;Renekton;CloudNguyen;JarvanIV;Shiphtur;Kassadin;CoreJJ;Sivir;KiWiKiD;Thresh
49;NALCS;2015;Spring;Season;CST;0;1;T8;33;Cris;Maokai;Impaler;RekSai;mancloud;Ahri;Mash;Graves;Sheep;Janna;CaliTrlolz8;Irelia;Porpoise8;JarvanIV;Slooshi8;Leblanc;Maplestreet8;Sivir;Dodo8;Thresh
50;NALCS;2015;Spring;Season;TIP;1;0;GV;30;Impact;Morgana;Rush;RekSai;XiaoWeiXiao;Lulu;Apollo;Sivir;Adrian;Janna;Hauntzer;DrMundo;Saintvicious;Nunu;Keane;Zed;Cop;Corki;Bunny FuFuu;Braum
51;NALCS;2015;Spring;Season;CST;0;1;C9;34;Cris;Gnar;Impaler;JarvanIV;mancloud;Syndra;Mash;Graves;Sheep;Morgana;Balls;Maokai;Meteos;RekSai;Hai;Zed;Sneaky;Corki;LemonNation;Braum
52;NALCS;2015;Spring;Season;T8;1;0;TIP;49;CaliTrlolz8;Fizz;Porpoise8;RekSai;Slooshi8;Leblanc;Maplestreet8;Graves;Dodo8;Nami;Impact;Maokai;Rush;JarvanIV;XiaoWeiXiao;Ezreal;Apollo;Corki;Adrian;Janna
53;NALCS;2015;Spring;Season;TL;1;0;GV;29;Quas;Kennen;IWDominate;RekSai;FeniX;Lissandra;KEITH;Corki;Xpecial;Braum;Hauntzer;Hecarim;Saintvicious;Nidalee;Keane;Viktor;Cop;Graves;Bunny FuFuu;Morgana
54;NALCS;2015;Spring;Season;TSM;1;0;DIG;33;Dyrus;Maokai;Santorin;RekSai;Bjergsen;Lissandra;WildTurtle;Sivir;Lustboy;Janna;Gamsu;Renekton;Azingy;Vi;Shiphtur;Ezreal;CoreJJ;Graves;KiWiKiD;Morgana
55;NALCS;2015;Spring;Season;CLG;1;0;WFX;29;ZionSpartan;Maokai;Xmithie;JarvanIV;Link;Ezreal;Doublelift;Kalista;Aphromoo;Thresh;Avalon;Hecarim;Helios;RekSai;Pobelter;Kassadin;Altec;Corki;Imagine;Janna
56;NALCS;2015;Spring;Season;GV;1;0;CST;33;Hauntzer;Maokai;Saintvicious;RekSai;Keane;Kassadin;Cop;Graves;Bunny FuFuu;Veigar;Cris;Rumble;Impaler;Rengar;mancloud;Ezreal;Mash;Corki;Sheep;Annie
57;NALCS;2015;Spring;Season;C9;1;0;WFX;30;Balls;Maokai;Meteos;Nidalee;Hai;Zed;Sneaky;Corki;LemonNation;Morgana;Avalon;Gnar;Helios;JarvanIV;Pobelter;Leblanc;Altec;Kalista;Imagine;Thresh
58;NALCS;2015;Spring;Season;TIP;1;0;TSM;42;Impact;Morgana;Rush;LeeSin;XiaoWeiXiao;Kassadin;Apollo;Graves;Adrian;Leona;Dyrus;Irelia;Santorin;RekSai;Bjergsen;Leblanc;WildTurtle;Corki;Lustboy;Annie
59;NALCS;2015;Spring;Season;CLG;0;1;TL;55;ZionSpartan;Rumble;Xmithie;Nidalee;Link;Ezreal;Doublelift;Tristana;Aphromoo;Braum;Quas;Morgana;IWDominate;RekSai;FeniX;Zed;KEITH;Jinx;Xpecial;Janna
60;NALCS;2015;Spring;Season;T8;1;0;DIG;38;CaliTrlolz8;Gragas;Porpoise8;RekSai;Slooshi8;Zed;Maplestreet8;Sivir;Dodo8;Morgana;Gamsu;Maokai;Azingy;FiddleSticks;Shiphtur;Ahri;CoreJJ;Ezreal;KiWiKiD;Annie
61;NALCS;2015;Spring;Season;DIG;1;0;CST;51;Gamsu;Rumble;Azingy;Vi;Shiphtur;Ahri;CoreJJ;Sivir;KiWiKiD;Annie;Cris;Kennen;Impaler;LeeSin;mancloud;Leblanc;Mash;Corki;Sheep;Leona
62;NALCS;2015;Spring;Season;GV;0;1;CLG;36;Hauntzer;Lissandra;Saintvicious;Sejuani;Keane;Viktor;Cop;Graves;Bunny FuFuu;Janna;ZionSpartan;Hecarim;Xmithie;RekSai;Link;Lulu;Doublelift;Jinx;Aphromoo;Thresh
63;NALCS;2015;Spring;Season;WFX;0;1;TSM;46;Avalon;Kennen;Helios;JarvanIV;Pobelter;Viktor;Paragon;Corki;Altec;Leona;Dyrus;Lulu;Santorin;RekSai;Bjergsen;Zed;WildTurtle;Sivir;Lustboy;Thresh
64;NALCS;2015;Spring;Season;TIP;1;0;C9;40;Impact;Kennen;Rush;LeeSin;XiaoWeiXiao;Karthus;Apollo;Graves;Adrian;Leona;Balls;Lulu;Meteos;Vi;Hai;Zed;Sneaky;Corki;LemonNation;Braum
65;NALCS;2015;Spring;Season;TL;0;1;T8;46;Quas;Kennen;IWDominate;JarvanIV;FeniX;Zed;Piglet;Kalista;Xpecial;Thresh;CaliTrlolz8;Rumble;Porpoise8;Vi;Slooshi8;Leblanc;Maplestreet8;Graves;Dodo8;Janna
66;NALCS;2015;Spring;Season;C9;1;0;DIG;46;Balls;Lissandra;Meteos;Sejuani;Hai;Kennen;Sneaky;Graves;LemonNation;Morgana;Gamsu;JarvanIV;Azingy;RekSai;Shiphtur;Ahri;CoreJJ;Corki;KiWiKiD;Annie
67;NALCS;2015;Spring;Season;TSM;1;0;T8;37;Dyrus;Rumble;Santorin;Nidalee;Bjergsen;Lissandra;WildTurtle;Sivir;Lustboy;Annie;CaliTrlolz8;Gragas;Porpoise8;RekSai;Slooshi8;Orianna;Maplestreet8;Lucian;Dodo8;Janna
68;NALCS;2015;Spring;Season;TL;0;1;TIP;29;Quas;Kennen;IWDominate;JarvanIV;FeniX;Lulu;Piglet;Jinx;Xpecial;Braum;Impact;Maokai;Rush;Vi;XiaoWeiXiao;Karthus;Apollo;Graves;Adrian;Leona
69;NALCS;2015;Spring;Season;GV;1;0;WFX;45;Hauntzer;Rumble;Saintvicious;RekSai;Keane;Leblanc;Cop;Graves;Bunny FuFuu;Thresh;Avalon;Maokai;Helios;JarvanIV;Pobelter;Viktor;Paragon;Corki;Altec;Leona
70;NALCS;2015;Spring;Season;CLG;1;0;CST;31;ZionSpartan;Kennen;Xmithie;Vi;Link;Zed;Doublelift;Kalista;aphromoo;Thresh;Cris;Irelia;Impaler;LeeSin;mancloud;Ahri;Mash;Graves;Sheep;Janna
71;NALCS;2015;Spring;Season;CST;0;1;TIP;31;Cris;Irelia;WTHeaven;Gragas;mancloud;Chogath;Mash;Lucian;KonKwon;Leona;Impact;Rumble;Rush;Nidalee;XiaoWeiXiao;Yasuo;Apollo;Graves;Adrian;Janna
72;NALCS;2015;Spring;Season;TL;0;1;C9;33;Quas;DrMundo;IWDominate;RekSai;FeniX;Cassiopeia;Piglet;Kalista;Xpecial;Janna;Balls;Maokai;Meteos;Vi;Hai;Lissandra;Sneaky;Lucian;LemonNation;Nautilus
73;NALCS;2015;Spring;Season;TSM;0;1;GV;37;Dyrus;DrMundo;Santorin;RekSai;Bjergsen;Zed;WildTurtle;Lucian;Lustboy;Lulu;Hauntzer;Maokai;Saintvicious;Nunu;Keane;Urgot;Cop;Corki;Bunny FuFuu;Thresh
74;NALCS;2015;Spring;Season;CLG;1;0;DIG;38;ZionSpartan;Sion;Xmithie;Vi;Link;Ahri;Doublelift;Kalista;aphromoo;Thresh;Gamsu;Hecarim;Azingy;Zac;Shiphtur;Leblanc;CoreJJ;Tristana;KiWiKiD;Janna
75;NALCS;2015;Spring;Season;WFX;0;1;T8;45;Avalon;Lulu;Helios;Sejuani;Pobelter;Karthus;Altec;Lucian;Gleeb;Janna;CaliTrlolz8;Gragas;Porpoise8;Vi;Slooshi8;Orianna;Maplestreet8;Graves;Dodo8;Morgana
76;NALCS;2015;Spring;Season;DIG;0;1;GV;40;Gamsu;Sion;Azingy;Zac;Shiphtur;Xerath;CoreJJ;Tristana;KiWiKiD;Janna;Hauntzer;Hecarim;Saintvicious;Sejuani;Keane;Fizz;Cop;Sivir;Bunny FuFuu;Morgana
77;NALCS;2015;Spring;Season;TSM;1;0;CLG;42;Dyrus;Lulu;Santorin;Sejuani;Bjergsen;Zed;WildTurtle;Corki;Lustboy;Thresh;ZionSpartan;Kennen;Xmithie;RekSai;Link;Ahri;Doublelift;Jinx;aphromoo;Janna
78;NALCS;2015;Spring;Season;T8;1;0;C9;47;CaliTrlolz8;Vladimir;Porpoise8;Sejuani;Slooshi8;Lulu;Maplestreet8;Graves;Dodo8;Thresh;Balls;Maokai;Meteos;Nunu;Hai;Corki;Sneaky;Lucian;LemonNation;Nautilus
79;NALCS;2015;Spring;Season;TIP;1;0;WFX;42;Impact;Hecarim;Rush;Nidalee;XiaoWeiXiao;Yasuo;Apollo;Graves;Adrian;Thresh;Avalon;Lulu;Helios;Nunu;Pobelter;Zed;Altec;Twitch;Gleeb;Janna
80;NALCS;2015;Spring;Season;CST;0;1;TL;37;Cris;Lissandra;WTHeaven;Gragas;mancloud;Yasuo;Mash;KogMaw;KonKwon;Alistar;Quas;Lulu;IWDominate;Nunu;FeniX;Ahri;Piglet;Vayne;Xpecial;Janna
81;NALCS;2015;Spring;Season;GV;0;1;C9;45;Hauntzer;Irelia;Saintvicious;Nunu;Keane;Rumble;Cop;Caitlyn;Bunny FuFuu;Morgana;Balls;Kennen;Meteos;Sejuani;Hai;Zed;Sneaky;Lucian;LemonNation;Nautilus
82;NALCS;2015;Spring;Season;T8;0;1;CLG;34;CaliTrlolz8;Maokai;Porpoise8;RekSai;Slooshi8;Orianna;Maplestreet8;Graves;Dodo8;Thresh;ZionSpartan;Rumble;Xmithie;Sejuani;Link;Corki;Doublelift;Sivir;aphromoo;Lulu
83;NALCS;2015;Spring;Season;WFX;1;0;TL;36;Avalon;Sion;Helios;Nidalee;Pobelter;Ezreal;Altec;Caitlyn;Gleeb;Nautilus;Quas;Renekton;IWDominate;RekSai;FeniX;Vladimir;Piglet;Graves;Xpecial;Annie
84;NALCS;2015;Spring;Season;CST;0;1;TSM;36;Cris;Sion;WTHeaven;RekSai;mancloud;Cassiopeia;Mash;Twitch;KonKwon;Nautilus;Dyrus;Lulu;Santorin;Nidalee;Bjergsen;Urgot;WildTurtle;KogMaw;Lustboy;Janna
85;NALCS;2015;Spring;Season;TIP;0;1;DIG;42;Impact;Rumble;Rush;RekSai;XiaoWeiXiao;Leblanc;Apollo;Graves;Adrian;Janna;Gamsu;Sion;Azingy;Zac;Shiphtur;Katarina;CoreJJ;Lucian;KiWiKiD;Annie
86;NALCS;2015;Spring;Season;WFX;1;0;CST;35;Avalon;Sion;Helios;LeeSin;Pobelter;Chogath;Altec;Sivir;Gleeb;Lulu;Cris;Lissandra;WTHeaven;Gragas;mancloud;Urgot;Mash;Varus;KonKwon;Janna
87;NALCS;2015;Spring;Season;C9;1;0;TSM;40;Balls;Maokai;Meteos;Vi;Hai;Lissandra;Sneaky;Lucian;LemonNation;Nautilus;Dyrus;Kennen;Santorin;RekSai;Bjergsen;Chogath;WildTurtle;Graves;Lustboy;Leona
88;NALCS;2015;Spring;Season;DIG;0;1;TL;33;Gamsu;Kennen;Azingy;Zac;Shiphtur;Diana;CoreJJ;Sivir;KiWiKiD;Thresh;Quas;Hecarim;IWDominate;Sejuani;FeniX;Lissandra;Piglet;Kalista;Xpecial;Annie
89;NALCS;2015;Spring;Season;GV;1;0;T8;34;Hauntzer;Rumble;Saintvicious;Nunu;Keane;Vladimir;Cop;Graves;Bunny FuFuu;Thresh;CaliTrlolz8;Gragas;Porpoise8;RekSai;Slooshi8;Lissandra;Maplestreet8;Sivir;Dodo8;Morgana
90;NALCS;2015;Spring;Season;CLG;0;1;TIP;34;ZionSpartan;Jax;Xmithie;RekSai;Link;Lulu;Doublelift;Kalista;aphromoo;Alistar;Impact;Rumble;Rush;Vi;XiaoWeiXiao;Corki;Apollo;Graves;Adrian;Leona
91;NALCS;2015;Spring;Season;T8;0;1;TL;46;CaliTrlolz8;Hecarim;Porpoise8;RekSai;Slooshi8;Lissandra;Maplestreet8;Corki;Dodo8;Thresh;Quas;Lulu;IWDominate;Sejuani;FeniX;Zed;Piglet;Lucian;Xpecial;Janna
92;NALCS;2015;Spring;Season;C9;1;0;CLG;28;Balls;Maokai;Meteos;Zac;Hai;JarvanIV;Sneaky;Draven;LemonNation;Morgana;ZionSpartan;Hecarim;Xmithie;Vi;Link;Lissandra;Doublelift;Vayne;aphromoo;Alistar
93;NALCS;2015;Summer;Season;C9;1;0;TSM;46;Balls;Rumble;Meteos;Gragas;Incarnati0n;KogMaw;Sneaky;Sivir;LemonNation;Nautilus;Dyrus;Maokai;Santorin;RekSai;Bjergsen;Viktor;WildTurtle;Urgot;Lustboy;Thresh
94;NALCS;2015;Summer;Season;TDK;0;1;TL;44;Seraph;Rumble;Kez;RekSai;Bischu;Azir;Lattman;Corki;Baby;Thresh;Quas;Gnar;IWDominate;Gragas;FeniX;Cassiopeia;Piglet;Kalista;Xpecial;Annie
95;NALCS;2015;Summer;Season;CLG;1;0;DIG;33;ZionSpartan;Maokai;Xmithie;LeeSin;Pobelter;KogMaw;Doublelift;Ashe;aphromoo;Alistar;Gamsu;Hecarim;Azingy;Sejuani;Shiphtur;Azir;CoreJJ;Kalista;KiWiKiD;Annie
96;NALCS;2015;Summer;Season;T8;0;1;TIP;34;CaliTrlolz8;Gnar;Porpoise8;RekSai;Slooshi8;Ziggs;Maplestreet8;Urgot;Dodo8;Thresh;Impact;Yasuo;Rush;Evelynn;XiaoWeiXiao;Fizz;Apollo;Sivir;Adrian;Alistar
97;NALCS;2015;Summer;Season;GV;0;1;NME;43;Hauntzer;Hecarim;Move;Nunu;Keane;Fizz;Altec;Sivir;Bunny FuFuu;Thresh;Flaresz;Rumble;Trashy;Sejuani;Innox;Kassadin;otter;Vayne;Bodydrop;Nautilus
98;NALCS;2015;Summer;Season;TL;1;0;T8;42;Quas;Rumble;IWDominate;Nunu;FeniX;Cassiopeia;Piglet;Sivir;Xpecial;Thresh;CaliTrlolz8;Irelia;Porpoise8;Sejuani;Slooshi8;Vladimir;Maplestreet8;Graves;Dodo8;Nautilus
